,name,location,rating,num_rating,price
217,5 Puttonyos Aszú (Red Label) 2016,"Tokaj, Hungary",4.4,236 ratings,61.99
218,Les Jardins de Babylone Moelleux 2012,"Jurançon, France",4.4,236 ratings,Available online from $110
219,Sauternes (Lur Saluces) 2006,"Sauternes, France",4.4,231 ratings,Available online from $99.58
220,Cabernet Franc Icewine 2015,"Niagara Peninsula, Canada",4.4,224 ratings,Available online from $99.99
221,Sauternes (Premier Grand Cru Classé) 1988,"Sauternes, France",4.4,220 ratings,Available online from $59
222,Barsac (Premier Grand Cru Classé) 2004,"Barsac, France",4.4,217 ratings,Available online from $44.50
223,Barsac (Premier Grand Cru Classé) 2007,"Barsac, France",4.4,194 ratings,Available online from $207.89
224,Dolce (Late Harvest) 2010,"Napa Valley, United States",4.4,189 ratings,68.95
225,Sauternes (Premier Grand Cru Classé) 1989,"Sauternes, France",4.4,188 ratings,Available online from $98
226,Barsac (Premier Grand Cru Classé) 2003,"Barsac, France",4.4,177 ratings,Available online from $88
227,Tokaji Aszú 5 Puttonyos 2012,"Tokaj, Hungary",4.4,171 ratings,Available online from $46.99
228,Sauternes (Premier Grand Cru Classé) 2000,"Sauternes, France",4.4,166 ratings,Available online from $68.87
229,Santorini Vinsanto 2013,"Santorini, Greece",4.4,149 ratings,Available online from $35
230,Barsac (Premier Grand Cru Classé) 1997,"Barsac, France",4.4,147 ratings,Available online from $93.95
231,Sauternes (Lur Saluces) 2003,"Sauternes, France",4.4,144 ratings,Available online from $99
232,Barsac (Premier Grand Cru Classé) 1986,"Barsac, France",4.4,134 ratings,Available online from $160.50
233,Vouvray Le Mont Moelleux Première Trie 2015,"Vouvray, France",4.4,130 ratings,Available online from $52.99
234,Sauternes (Lur Saluces) 2001,"Sauternes, France",4.4,129 ratings,Available online from $189.99
235,Brauneberger Juffer Sonnenuhr Riesling Auslese 2018,"Brauneberg, Germany",4.4,124 ratings,Available online from $49
236,Sauternes (Premier Grand Cru Classé) 2002,"Sauternes, France",4.4,121 ratings,Available online from $49.99
237,Barsac (Premier Grand Cru Classé) 2011,"Barsac, France",4.4,120 ratings,Available online from $130.31
238,Sauternes (Premier Grand Cru Classé) 1988,"Sauternes, France",4.4,118 ratings,Available online from $68.56
239,Vin de Constance (Natural Sweet) 2001,"Constantia, South Africa",4.4,112 ratings,Available online from $159.59
240,Sauternes (Premier Grand Cru Classé) 1985,"Sauternes, France",4.4,107 ratings,Available online from $118
241,Sauternes (Grand Cru Classé) 1990,"Sauternes, France",4.4,98 ratings,Available online from $129.94
242,Sauternes (Premier Grand Cru Classé) 1983,"Sauternes, France",4.4,98 ratings,Available online from $104.99
243,Sauternes (Lur Saluces) 2010,"Sauternes, France",4.4,97 ratings,Available online from $166.95
244,Aszú 5 Puttonyos 2017,"Tokaj, Hungary",4.4,95 ratings,Available online from $44.99
245,Sauternes (Lur Saluces) 2004,"Sauternes, France",4.4,93 ratings,Available online from $78.19
246,Riesling Icewine 2018,"Niagara Peninsula, Canada",4.4,92 ratings,84.99
247,Sauternes (Premier Grand Cru Classé) 1986,"Sauternes, France",4.4,91 ratings,Available online from $75.41
248,Sauternes Barsac (Premier Grand Cru Classé) 1986,"Barsac, France",4.4,81 ratings,Available online from $129
249,Passito Rosso 2015,"Toscana, Italy",4.4,77 ratings,Available online from $82.99
250,Passito Rosso 2015,"Toscana, Italy",4.4,77 ratings,Available online from $82.99
251,Sauternes (Premier Grand Cru Classé) 1978,"Sauternes, France",4.4,71 ratings,Available online from $92
252,Sauternes (Grand Cru Classé) 1990,"Sauternes, France",4.4,70 ratings,Available online from $78
253,Malvasia Volcanica Semidulce 2019,"Lanzarote, Spain",4.4,65 ratings,Available online from $25
254,Barsac (Grand Cru Classé) 1999,"Barsac, France",4.4,64 ratings,Available online from $48
255,Brauneberger Juffer Sonnenuhr Riesling Auslese 2006,"Brauneberg, Germany",4.4,64 ratings,Available online from $107
256,Sauternes (Premier Grand Cru Classé) 1985,"Sauternes, France",4.4,63 ratings,Available online from $94
257,Les Jardins de Babylone Moelleux 2015,"Jurançon, France",4.4,62 ratings,Available online from $159.99
258,Straw Wine 2020,"Swartland, South Africa",4.4,62 ratings,Available online from $57
259,Sauternes (Premier Grand Cru Classé) 1976,"Sauternes, France",4.4,59 ratings,Available online from $197
260,No. 2 Victoria 2018,"Málaga, Spain",4.4,59 ratings,23.99
261,Sauternes 1988,"Sauternes, France",4.4,58 ratings,Available online from $194.89
262,Sauternes Barsac (Premier Grand Cru Classé) 1983,"Barsac, France",4.4,57 ratings,Available online from $109
263,Sauternes Barsac (Premier Grand Cru Classé) 1975,"Barsac, France",4.4,57 ratings,Available online from $75
264,Beerenauslese 2018,"Neusiedlersee-Hügelland, Austria",4.4,55 ratings,Available online from $49.33
265,Piemonte Brachetto 2020,"Piemonte, Italy",4.4,55 ratings,14.95
266,Quarts de Chaume 1967,"Quarts de Chaume, France",4.4,52 ratings,299.99
267,Barsac (Grand Cru Classé) 1983,"Barsac, France",4.4,50 ratings,Available online from $108
268,Sauternes (Lur Saluces) 2017,"Sauternes, France",4.4,49 ratings,Available online from $175
269,Gold Vidal Icewine 2017,"Niagara Peninsula, Canada",4.4,48 ratings,92.99
270,Vidal Icewine 2008,"Pelee Island, Canada",4.4,48 ratings,Available online from $43.33
271,Sauternes (Crème de Tête) 1996,"Sauternes, France",4.4,48 ratings,Available online from $169.97
272,Quarts de Chaume 1973,"Quarts de Chaume, France",4.4,45 ratings,Available online from $139.95
273,Sauternes (Lur Saluces) 1986,"Sauternes, France",4.4,45 ratings,Available online from $139
274,Sagrantino Montefalco Passito 2014,"Montefalco, Italy",4.4,44 ratings,Available online from $52
275,Edelspatz Noble Late Harvest Botrytis 2019,"Stellenbosch, South Africa",4.4,43 ratings,Available online from $27
